person,slug,2017,2018,2019,total
Rodrigo Duterte,rodrigo_duterte,217,262,228,707
Ozuna,ozuna,3,4,8,15
Whitney Wolfe Herd,whitney_wolfe_herd,493,474,470,1437
Kerry James Marshall,kerry_james_marshall,1324,1151,1159,3634
Guillem Anglada Escude,guillem_anglada_escude,10,12,9,31
Vladimir Putin,vladimir_putin,1893,1870,1195,4958
Virgil Abloh,virgil_abloh,333,337,464,1134
Juan Manuel Santos,juan_manuel_santos,1606,1663,1783,5052
Jaclyn Corin,jaclyn_corin,9,30,24,63
David Hockney,david_hockney,747,607,500,1854
Megan Twohey,megan_twohey,288,284,593,1165
