date,fear_greed_index
2018.5.31,43
2018.6.1,52
2018.6.4,55
2018.6.5,58
2018.6.6,65
2018.6.7,62
2018.6.8,63
2018.6.11,64
2018.6.12,65
2018.6.13,64
2018.6.14,63
2018.6.15,61
2018.6.18,61
2018.6.19,53
2018.6.20,57
2018.6.21,52
2018.6.22,52
2018.6.25,42
2018.6.26,47
2018.6.27,36
2018.6.28,39
2018.6.29,34
2018.7.2,35
2018.7.3,32
2018.7.5,33
2018.7.6,40
2018.7.9,47
2018.7.10,45
2018.7.11,41
2018.7.12,49
2018.7.13,47
2018.7.16,45
2018.7.17,49
2018.7.18,56
2018.7.19,50
2018.7.20,53
2018.7.23,58
2018.7.24,64
2018.7.25,70
2018.7.26,72
2018.7.27,67
2018.7.30,64
2018.7.31,66
2018.8.1,66
2018.8.2,68
2018.8.3,71
2018.8.6,72
2018.8.7,73
2018.8.8,74
2018.8.9,70
2018.8.10,56
2018.8.13,56
2018.8.14,58
2018.8.15,46
2018.8.16,51
2018.8.17,54
2018.8.20,61
2018.8.21,61
2018.8.22,61
2018.8.23,59
2018.8.24,68
2018.8.27,77
2018.8.28,78
2018.8.29,78
2018.8.30,73
2018.8.31,71
2018.9.4,67
2018.9.5,62
2018.9.6,53
2018.9.7,52
2018.9.10,56
2018.9.11,59
2018.9.12,59
2018.9.13,72
2018.9.14,73
2018.9.17,67
2018.9.18,73
2018.9.19,71
2018.9.20,74
2018.9.21,75
2018.9.24,70
2018.9.25,64
2018.9.26,53
2018.9.27,48
2018.9.28,47
2018.10.1,49
2018.10.2,45
2018.10.3,51
2018.10.4,43
2018.10.5,33
2018.10.8,28
2018.10.9,23
2018.10.10,8
2018.10.11,5
2018.10.12,11
2018.10.15,11
2018.10.16,13
2018.10.17,14
2018.10.18,12
2018.10.19,14
2018.10.22,16
2018.10.23,12
2018.10.24,6
2018.10.25,9
2018.10.26,7
2018.10.29,7
2018.10.30,7
2018.10.31,7
2018.11.1,6
2018.11.2,8
2018.11.5,9
2018.11.6,12
2018.11.7,25
2018.11.8,29
2018.11.9,18
2018.11.12,11
2018.11.13,10
2018.11.14,7
2018.11.15,10
2018.11.16,10
2018.11.19,8
2018.11.20,7
2018.11.21,13
2018.11.23,9
2018.11.26,17
2018.11.27,19
2018.11.28,21
2018.11.29,23
2018.11.30,22
2018.12.3,20
2018.12.4,20
2018.12.6,15
2018.12.7,11
2018.12.10,9
2018.12.11,8
2018.12.12,10
2018.12.13,11
2018.12.14,8
2018.12.17,10
2018.12.18,8
2018.12.19,8
2018.12.20,5
