person,slug,2017,2018,2019,total
Tamika Mallory,tamika_mallory,28,23,67,118
Vijay Shekhar Sharma,vijay_shekhar_sharma,229,350,271,850
Taylor Swift,taylor_swift,1384,1184,1200,3768
Pierpaolo Piccioli,pierpaolo_piccioli,5,8,9,22
Michael Gillon,michael_gillon,369,376,308,1053
Jean Liu,jean_liu,2104,1915,2082,6101
Reince Priebus,reince_priebus,241,66,19,326
Sinta Nuriyah,sinta_nuriyah,3,2,0,5
Hoda Kotb,hoda_kotb,4,17,29,50
Kirsten Green,kirsten_green,520,422,629,1571
Maxine Waters,maxine_waters,1831,1545,1672,5048
Barry Jenkins,barry_jenkins,2067,1960,1976,6003
Carl June,carl_june,856,715,747,2318
Zhang Kejian,zhang_kejian,129,84,158,371
Alessandro Michele,alessandro_michele,313,312,281,906
Stephen Bannon,stephen_bannon,996,723,476,2195
Ariana Grande,ariana_grande,475,357,477,1309
Issa Rae,issa_rae,236,215,226,677
BTS,bts,11,38,54,103
Alex Wind,alex_wind,323,390,360,1073
Leah Greenberg,leah_greenberg,182,209,293,684
Roseanne Barr,roseanne_barr,139,217,627,983
Jeanette Vizguerra,jeanette_vizguerra,83,67,76,226
Ozuna,ozuna,3,4,8,15
Biram Dah Abeid,biram_dah_abeid,52,34,16,102
Abiy Ahmed,abiy_ahmed,638,494,539,1671
Yuriko Koike,yuriko_koike,16,8,11,35
Kevin Durant,kevin_durant,150,142,152,444
Guus Velders,guus_velders,33,35,15,83
Janet Yellen,janet_yellen,564,488,401,1453
Ashley Graham,ashley_graham,1693,1636,1745,5074
Jay ONeal,jay_oneal,1032,983,1062,3077
Emmerson Mnangagwa,emmerson_mnangagwa,126,94,87,307
Elizabeth Diller,elizabeth_diller,1612,1524,2318,5454
JR artist,jr_artist,1333,1094,1165,3592
Emma Stone,emma_stone,1624,1606,1815,5045
Hoesung Lee,hoesung_lee,76,77,64,217
Imran Khan,imran_khan,1602,1493,1375,4470
George Church,george_church,830,596,603,2029
Mahershala Ali,mahershala_ali,1690,1488,1657,4835
Massimo Bottura,massimo_bottura,122,101,89,312
Emilia Clarke,emilia_clarke,1354,1138,1365,3857
Robert Mueller,robert_mueller,705,1162,1108,2975
Tiger Woods,tiger_woods,1527,1471,1415,4413
General James Mattis,general_james_mattis,857,589,586,2032
Gayle King,gayle_king,378,341,446,1165
Jan Rader,jan_rader,16,11,24,51
Bernard Tyson,bernard_tyson,903,904,908,2715
Menaka Guruswamy,menaka_guruswamy,3,3,3,9
Neymar,neymar,346,412,223,981
Yalitza Aparicio,yalitza_aparicio,1,19,22,42
Zhang Yiming,zhang_yiming,128,84,159,371
Chuck Schumer,chuck_schumer,892,737,625,2254
Loujain al Hathloul,loujain_al_hathloul,116,61,146,323
Andres Manuel Lopez,andres_manuel_lopez,971,1085,1191,3247
Tom Perez,tom_perez,494,420,411,1325
Whitney Wolfe Herd,whitney_wolfe_herd,493,474,470,1437
Sandra Oh,sandra_oh,334,372,361,1067
Guillermo del Toro,guillermo_del_toro,948,1071,947,2966
Thelma Aldana,thelma_aldana,63,56,79,198
Ben Platt,ben_platt,294,283,222,799
Scott Pruitt,scott_pruitt,303,294,306,903
Christian Siriano,christian_siriano,97,78,98,273
Demi Lovato,demi_lovato,97,104,138,339
Adam Bowen,adam_bowen,372,390,422,1184
Meghan Markle,meghan_markle,180,569,368,1117
Ruth Davidson,ruth_davidson,1261,1171,1264,3696
Sean Hannity,sean_hannity,2370,1496,1466,5332
Kenneth Frazier,kenneth_frazier,592,498,527,1617
Elon Musk,elon_musk,307,396,206,909
Lady Gaga,lady_gaga,256,283,293,832
Elizabeth Warren,elizabeth_warren,2806,2382,3288,8476
Sadiq Khan,sadiq_khan,1587,1486,1347,4420
Pony Ma,pony_ma,639,508,477,1624
Riz Ahmed,riz_ahmed,643,501,545,1689
Gavin Grimm,gavin_grimm,634,771,1012,2417
Rami Malek,rami_malek,75,89,128,292
Joanna Gaines,joanna_gaines,463,377,530,1370
Ivanka Trump,ivanka_trump,3421,2490,2226,8137
Guillem Anglada Escude,guillem_anglada_escude,10,12,9,31
Brie Larson,brie_larson,122,99,155,376
Jian Wei Pan,jian_wei_pan,1128,1109,1160,3397
Radhya Almutawakel,radhya_almutawakel,5,1,3,9
Shawn Mendes,shawn_mendes,255,251,233,739
Janet Mock,janet_mock,1207,999,935,3141
Roger Federer,roger_federer,1607,1335,1431,4373
Constance Wu,constance_wu,202,215,236,653
Celina Turchi,celina_turchi,15,22,32,69
Pat McGrath,pat_mcgrath,1190,983,1194,3367
Jeanne Gang,jeanne_gang,1385,1698,1499,4582
Orla OConnor,orla_oconnor,48,86,63,197
Jimmy Kimmel,jimmy_kimmel,1355,1210,1087,3652
Marillyn Hewson,marillyn_hewson,157,165,105,427
Richard Madden,richard_madden,302,368,317,987
Jordan Peele,jordan_peele,1790,1843,1838,5471
Giuliano Testa,giuliano_testa,12,28,15,55
Bob Ferguson,bob_ferguson,1410,1233,1281,3924
Juan Manuel Santos,juan_manuel_santos,1606,1663,1783,5052
Pope Francis,pope_francis,1668,1461,1518,4647
Mohamed bin Zayed,mohamed_bin_zayed,1804,2169,1998,5971
King Maha Vajiralongkorn,king_maha_vajiralongkorn,190,199,200,589
Regina King,regina_king,243,269,301,813
Barbara Rae-Venter,barbara_rae_venter,898,896,841,2635
Matteo Salvini,matteo_salvini,172,597,677,1446
Maria Ressa,maria_ressa,1126,1141,1066,3333
Narendra Modi,narendra_modi,217,149,300,666
John Krasinski,john_krasinski,556,580,477,1613
dream hampton,dream_hampton,338,339,313,990
Ronan Farrow,ronan_farrow,193,299,291,783
Simone Biles,simone_biles,340,392,355,1087
Cindy Holland,cindy_holland,983,774,674,2431
Natalie Batalha,natalie_batalha,535,543,432,1510
Gretchen Carlson,gretchen_carlson,117,136,171,424
Jane Goodall,jane_goodall,1766,1630,1717,5113
Arundhati Katju,arundhati_katju,43,24,25,92
Khalid,khalid,267,144,148,559
Spike Lee,spike_lee,748,787,806,2341
Mirian G,mirian_g,1489,1309,1298,4096
Kerry James Marshall,kerry_james_marshall,1324,1151,1159,3634
Mark Zuckerberg,mark_zuckerberg,606,827,622,2055
Alex Morgan,alex_morgan,1941,1793,2099,5833
Juan Guaido,juan_guaido,867,860,927,2654
Fan Bingbing,fan_bingbing,80,83,81,244
Arlette Contreras,arlette_contreras,15,22,14,51
Aileen Lee,aileen_lee,110,104,87,301
Bob Iger,bob_iger,785,658,603,2046
Kesha,kesha,31,26,11,68
Barbara Lynch,barbara_lynch,1140,1064,1052,3256
James Allison,james_allison,512,502,477,1491
Jennifer Lopez,jennifer_lopez,1190,1158,1442,3790
Dwayne Johnson,dwayne_johnson,372,339,1341,2052
Raed Saleh,raed_saleh,85,80,49,214
Nice Nailantei Lengete,nice_nailantei_lengete,57,40,48,145
Naomi Osaka,naomi_osaka,500,516,786,1802
Colson Whitehead,colson_whitehead,167,74,94,335
Daniela Vega,daniela_vega,121,168,119,408
Mukesh Ambani,mukesh_ambani,7,12,8,27
Ryan Coogler,ryan_coogler,2731,2502,2209,7442
Lynn Nottage,lynn_nottage,249,241,242,732
Mitch McConnell,mitch_mcconnell,734,563,605,1902
Rebekah Mercer,rebekah_mercer,258,280,261,799
Kumail Nanjiani,kumail_nanjiani,43,22,17,82
Fred Swaniker,fred_swaniker,583,650,675,1908
Cyril Ramaphosa,cyril_ramaphosa,139,151,149,439
Raf Simons,raf_simons,422,406,357,1185
William Barr,william_barr,195,251,682,1128
Leslie Jones,leslie_jones,631,654,624,1909
Sarah Paulson,sarah_paulson,103,111,87,301
